"","x"
"344","Learning Physics with Interactive Videos – Possibilities, Perception, and Challenges"
"345","Evidence-Inspired Choices for Teachers: Team-Based Learning and Interactive Lecture"
"346","Unistellar eVscopes: Smart, portable, and easy-to-use telescopes for exploration, interactive learning, and citizen astronomy"
"347","Sustaining Students’ Identities within the Context of Participatory Culture. Designing, Implementing and Evaluating an Interactive Learning Activity"
"348","Developing Interactive Multimedia Through Ispring on Indonesian Language Learning with The Insights of Islamic Values in Madrasah Ibtidaiyah"
"349","Face-to-Face Tutorials, Learning Management System and WhatsApp Group: How Digital Immigrants Interact and Engage in E-learning?"
"350","Collaborative teaching and learning of interactive multimodal spoken academic genres for doctoral students"
"351","Rigid-Soft Interactive Learning for Robust Grasping"
"352","Interactive learning processes and mergers and acquisitions in national systems of innovation"
"353","Estimating Exerted Hand Force via Force Myography to Interact with a Biaxial Stage in Real-Time by Learning Human Intentions: A Preliminary Investigation"
"354","Static and interactive concept maps for chemistry learning"
"355","Enhancing variety through gamified, interactive learning experiences"
"356","Distance Learning Technologies as a Modern Resource of Implementing Active and Interactive Methods of Education for the Organization of Independent Work of Students"
"357","Authoring Interactive Videos for e-Learning: The ELEVATE Tool Suite"
"358","Interactive E-Learning Courses as a New Teaching Method"
"359","Improvement of Memory and Motivation in Language Learning in Primary Education through the Interactive Digital Whiteboard (IDW): The Future in a Post-Pandemic Period"
"360","A Short Intervention Followed by an Interactive E-Learning Module to Motivate Medical Students to Enlist as First Responders: Protocol for a Prospective Implementation Study"
"361","A flexible, open, and interactive digital platform to support online and blended experiential learning environments: Thinglink and thin sections"
"362","Assessment-for-Learning Teaching Mode Based on Interactive Teaching Approach in College English"
"363","Interactive Learning Environment in the English Language Teaching with the help of Computer Technology"
"364","Learning Interaction Kernels in Stochastic Systems of Interacting Particles from Multiple Trajectories"
"365","3D Interactive Learning Environment as a Tool for Knowledge Transfer and Retention"
"366","Machine-learning approach to finite-size effects in systems with strongly interacting fermions"
"367","Interactive Development of Adaptive Learning and Memory"
"368","The InterActive Classroom: Practical Strategies for Involving Students in the Learning Process"
"369","Interactive Learning Tools: Animating Mechanics Of Materials"
"370","An Interactive Panel Session On Measuring The Impacts Of Project Based Service Learning On Engineering Education"
"371","Dynamic Learner-Assisted Interactive Learning Tools for Power Systems Engineering Courses"
"372","Interactive Learning of Teacher-student Model for Short Utterance Spoken Language Identification"
"373","The effectiveness of research-based learning with computer programming and highly interactive cloud classroom (HIC) elaboration in improving higher order thinking skills in solving a combination of wave functions"
"374","Tripartite Active Learning for Interactive Anomaly Discovery"
"375","Enhancing Elementary School Students’ Abstract Reasoning in Science Learning through Augmented Reality-Based Interactive Multimedia"
"376","Interactive learning for joint event and relation extraction"
"377","Continuous Control for High-Dimensional State Spaces: An Interactive Learning Approach"
"378","A Presence- and Performance-Driven Framework to Investigate Interactive Networked Music Learning Scenarios"
"379","Augmented Reality for Learning Calculus: A Research Framework of Interactive Learning System"
"380","A vision of miking: interactive programmatic modeling, sound language composition, and self-learning compilation"
"381","Computer-based interactive multimedia: a study on the effectiveness of integrative thematic learning in elementary schools"
"382","Language counts when learning mathematics with interactive apps"
"383","Using interactive e-based flipped learning to enhance EFL literature students’ critical reading"
"384","An interactive math braille learning application to assist blind students in Bangladesh"
"385","Exploring the Design Considerations for Developing an Interactive Tabletop Learning Tool for Children with Autism Spectrum Disorder"
"386","Interactive Learning Technology for Overcoming Academic Adaptation Barriers"
"387","The development of interactive mathematics learning media based on local wisdom and 21st century skills: social arithmetic concept"
"388","Learning Through Exploration: How Children, Adults, and Older Adults Interact with a New Feature-Rich Application"
"389","Effects of Interactive Whiteboard-based Instruction on Students’ Cognitive Learning Outcomes: A Meta-Analysis"
"390","AN INVESTIGATION OF STUDENT’S INTERACTIVITY IN THE CLASSROOM AND INTERACTIVITY WITHIN LEARNING MANAGEMENT SYSTEM TO IMPROVE LEARNING OUTCOMES"
"391","Interactive learning modules with 3D printed models improve student understanding of protein structure–function relationships"
"392","Exploring teacher interactive e-feedback on students’ writing through Google Docs: factors promoting interactivity and potential for learning"
"393","Learning run-time compositions of interacting adaptations"
"394","Developing an Interactive Mathematical Learning Media Based on the TPACK Framework Using the Hawgent Dynamic Mathematics Software"
"395","An interactive learning method to engage students in modeling"
"396","Data-Driven Preference Learning Methods for Value-Driven Multiple Criteria Sorting with Interacting Criteria"
"397","Part-Aware Interactive Learning for Scene Graph Generation"
"398","Interactive media-based video animation and student learning motivation in mathematics"
"399","Immersive Interactive Quantum Mechanics for Teaching and Learning Chemistry"
"400","Interactive Weak Supervision: Learning Useful Heuristics for Data Labeling"
"401","A Systematic Review on Task Design in Dynamic and Interactive Mathematics Learning Environments (DIMLEs)"
"402","Interactive Sequential Basket Recommendation by Learning Basket Couplings and Positive/Negative Feedback"
"403","Virtual patient in interactive learning environments: a review of 1989–2020 publications in selected SSCI journals"
"404","Telepresence and Interactivity in Mobile Learning System: Its Relation with Open Innovation"
"405","Learning-Based Optoelectronically Innervated Tactile Finger for Rigid-Soft Interactive Grasping"
"406","Development of Interactive E-Module on The Periodic System Materials as an Online Learning Media"
"407","Bridging the gap: interactive, case-based learning in radiology education"
"408","Interactive Decision Tree Learning and Decision Rule Extraction Based on the ImbTreeEntropy and ImbTreeAUC Packages"
"409","Dual Compositional Learning in Interactive Image Retrieval"
"410","A Continual Learning Framework for Uncertainty-Aware Interactive Image Segmentation"
"411","Developing an intelligent virtual reality interactive system based on the ADDIE model for learning pour-over coffee brewing"
"412","LazyDAgger: Reducing Context Switching in Interactive Imitation Learning"
"413","The Effectiveness of Using SIPEJAR to Improve the Quality of Learning with the Information Technology-Based Interactive Skill Station Method"
"414","Interactive-Animative Learning Videos as an Instructional Medium for Social Studies Learning for Elementary School During the Covid 19 Pandemic"
"415","Learning Acetabular Fracture Classification using a Three‐Dimensional Interactive Software: A Randomized Controlled Trial"
"416","Enhancing Cognitive Engagement of Pre-clinical Undergraduate Medical Students via Video Cases and Interactive Quizzes in Problem-based Learning"
"417","Employee Usage Intention of Ubiquitous Learning Technology: An Integrative View of User Perception Regarding Interactivity, Software, and Hardware"
"418","Development of Interactive Learning Media using Autoplay Media Studio 8 for Colloidal Chemistry Material"
"419","Various Interactive and Self-Learning Focused Tutorial Activities in the Power Electronic Course"
"420","Comparison of Learning Programming Between Interactive Computer Tutors and Human Teachers"
"421","Interactive tool for learning propagation in single‐mode optical fibers in telecommunication engineering"
"422","Interactive Personalised STEM Virtual Lab Based on Self-Directed Learning and Self-Efficacy"
"423","Self-Regulated Interactive Sequence-to-Sequence Learning"
"424","Federated Learning Assisted Interactive EDA with Dual Probabilistic Models for Personalized Search"
"425","Development of Android-Based Interactive Physics Mobile Learning Media (IPMLM) with Scaffolding Learning Approach to Improve HOTS of high school students in Indonesia"
"426","The Treatment of Metabolic Acidosis: An Interactive Case-Based Learning Activity"
"427","Learning Logic and Proof with an Interactive Theorem Prover"
"428","Using an Interactive Framework to Assess a Cultural Simulation for Learning: Tag Team Patient Safety Simulation"
"429","Designing and Developing Interactive Narratives for Collaborative Problem-Based Learning"
"430","The Development of Interactive Multimedia Using Lectora Inspire Application in Arabic Language Learning"
"431","Evaluating the effectiveness of KooLKIDS: An interactive social emotional learning program for Australian primary school children"
"432","Guided Interactive Learning through Chatbot using Bi-directional Encoder Representations from Transformers (BERT)"
"433","Auditory Display in Interactive Science Simulations: Description and Sonification Support Interaction and Enhance Opportunities for Learning"
"434","Development of Interactive Video Based Powerpoint Media In Mathematics Learning"
"435","Multi-Action Dialog Policy Learning with Interactive Human Teaching."
"436","Learning About Objects by Learning to Interact with Them"
"437","Development of an interactive e-learning software “Histologie für Mediziner” for medical histology courses and its overall impact on learning outcomes and motivation"
"438","Ensemble Gaussian Processes with Spectral Features for Online Interactive Learning with Scalability."
"439","Learning behavior mining and decision recommendation based on association rules in interactive learning environment"
"440","Transforming STEM Learning at Scale: PhET Interactive Simulations"
"441","Is too much help an obstacle? Effects of interactivity and cognitive style on learning with dynamic versus non-dynamic visualizations with narrative explanations"
"442","Machine Guides, Human Supervises: Interactive Learning with Global Explanations."
"443","E-Learning Based AutoCAD 3D Interactive Multimedia on Vocational Education (VE) Learning"
"444","Dialogic Learning, Interactive Teaching and Cognitive Mobilizing Patterns"
"445","Accessible and Interactive Learning of Spectroscopic Parameterization through Computer-Aided Training"
"446","Sketching to support visual learning with interactive tutorials"
"447","The impetus to interactive learning: Whiteboarding for online dental education in COVID‐19"
"448","Designing Rich Interactive Content for Blended Learning: A Case Study from Indonesia"
"449","Active learning strategies for interactive elicitation of assignment examples for threshold-based multiple criteria sorting"
"450","Interaction recognition and intervention based on context feature fusion of learning behaviors in interactive learning environments"
"451","How statistical learning interacts with the socioeconomic environment to shape children’s language development"
"452","Interest Development, Knowledge Learning, and Interactive IR"
"453","The Impact of Using Interactive Panels in the Learning Process on the Main Parameters of the Indoor School Environment"
"454","Graph Learning Based Head Movement Prediction for Interactive 360 Video Streaming"
"455","Do Shy Preschoolers Interact Differently When Learning Language With a Social Robot? An Analysis of Interactional Behavior and Word Learning"
"456","Understand My World: An Interactive App for Children Learning Arabic Vocabulary"
"457","Interactive Task Learning : Humans, Robots, and Agents Acquiring New Tasks through Natural Interactions"
"458","Self-Supervised Exclusive-Inclusive Interactive Learning for Multi-Label Facial Expression Recognition in the Wild"
"459","Interactive Math E-Book: An Alternative Learning Resources for 21st Century Learners"
"460","XQC at the Lifelog Search Challenge 2021: Interactive Learning on a Mobile Device"
"461","Interactive Learning with Mutual Explanations in Relational Domains"
"462","A supervised learning algorithm for interacting topological insulators based on local curvature"
"463","Interactive Prototype Learning for Egocentric Action Recognition"
"464","Effects of gamified interactive e-books on students’ flipped learning performance, motivation, and meta-cognition tendency in a mathematics course"
"465","Interactive Imitation Learning in State-Space"
"466","Visual media and learning: Effect of interactive television instruction as an intervention strategy for improving the critical thinking skills and disposition of out-of-school nomadic children in Nigeria"
"467","RootPainter3D: Interactive‐machine‐learning enables rapid and accurate contouring for radiotherapy"
"468","Independent Learning through Interactive Multimedia Based on Problem Based Learning"
"469","Enriching Mobile Learning Software with Interactive Activities and Motivational Feedback for Advancing Users’ High-Level Cognitive Skills"
"470","Do Interactive Learning Environments Have an Effect on Learning Outcomes, Cognitive Load and Metacognitive Judgments?"
"471","Designing and evaluating a high interactive augmented reality system for programming learning"
"472","Developing social entrepreneurs through distance education: the value of commitment and interactivity with the learning community"
"473","Improving Knowledge-aware Recommendation with Multi-level Interactive Contrastive Learning"
"474","User Adaptive Interactive Courses In Scorm Compliant Learning Management Systems"
"475","A Case Study: How Young Children and Teachers Use an Interactive Whiteboard in a New Zealand Kindergarten Setting for Visual Art Learning Experiences"
"476","Beyond Learning Styles: Understanding The Learning Processes Of Engineering Students Through The Interactive Learning Model"
"477","Introducing the discussant role to stimulate debate in the classroom: effects on interactivity, learning outcomes, satisfaction and attitudes"
"478","Exploring individual differences as factors to maximize interactive learning environments for future learning"
"479","Facilitating Learning in an Interactive Science Simulation: The Effects of Task Segmentation Guidance on Adults’ Inquiry-Based Learning and Cognitive Load"
"480","Self-narration and agency as interactive achievements: A sociocultural and interactionist analysis of migrant women's stories in a language learning setting"
"481","Interactive rodent behavior annotation in video using active learning"
"482","The effectiveness of mobile-based interactive learning multimedia in science process skills"
"483","Design of interactive teaching materials based on a scientific approach to support junior high school students' learning: Line and angles"
"484","INTERACTIVE POSSIBILITIES OF E-LEARNING COURSE DEVELOPED ON THE BASIS OF THE MOODLE SYSTEM"
"485","Creative Thinking features and museum interactivity: Examining the narrative and Possibility Thinking features in primary classrooms using learning resources associated with museum visits"
"486","Learning science with an interactive simulator: negotiating the practice-theory barrier"
"487","The development of interactive mathematics learning media based on schoology and visual basic through industrial revolution 4.0"
"488","Interactive student response system with iBeacon and web-socket for flipped classroom learning"
"489","Interactive Approach to Learning of Sorting Algorithms"
"490","EEG acquisition and analysis to improve stochastic processes and signal processing understanding in Engineering students: refining active learning dynamics via interactive approach in teaching"
"491","Problem-Based Learning with Interactive Multimedia to Improve Students’ Understanding of Thermodynamic Concepts"
"492","Labenah: An Arabic Block-Based Interactive Programming Environment for Children. The Journey of Learning and Playing"
"493","Pre-school children’s behavioral patterns and performances in learning numerical operations with a situation-based interactive e-book"
"494","Rewards interact with repetition‐dependent learning to enhance long‐term retention of motor memories"
"495","Unpacking the Black Box: Demystifying Ecological Models Through Interactive Workshops and Hands-On Learning"
"496","A Play-Based Interactive Learning Approach for Fostering Counting and Numbers Learning Skills for Early Childhood Education Using QR Codes Mobile Technologies"
"497","M1-D FDTD Methods for Mobile Interactive Teaching and Learning of Wave Propagation in Transmission Lines [Education Corner]"
"498","Channeling assessments in English language learning via interactive online platforms"
"499","Implementation of Interactive and Adjustable Cloud-based e-Learning Tools for 21st Century Engineering Education: Challenges and Prospects"
"500","Scaffolding attention and partial word learning through interactive coviewing of educational media: An eye-tracking study with low-income preschoolers."
"501","Safe Interactive Model-Based Learning."
"502","Exploring the learning effectiveness of financial literacy from the microworld perspective: Evidence from the simulated transactional interactive concurrent system"
"503","DEVELOPING INTERACTIVE MULTIMEDIA LEARNING FOR PSYCHOMOTOR DOMAIN TO STUDENTS OF VOCATIONAL HIGH SCHOOL"
"504","Effects of Infusing Interactive and Collaborative Learning to Teach an Introductory Programming Course"
"505","Interpersonal brain synchronization with instructor compensates for learner’s sleep deprivation in interactive learning"
"506","IMPLEMENTING LEARNING MODEL BASED ON INTERACTIVE LEARNING COMMUNITY FOR EFL STUDENTS OF MUHAMMADIYAH UNIVERSITY"
"507","Development of a 3D Interactive Training Platform for Assembly of Bogie Unit in the Railcar Learning Factory"
"508","An Implementation and Evaluation of Advanced Widgets Topic for Interactive Application Stage in Android Programming Learning Assistance System"
"509","Customer orientation: the interactive effect of role clarity and learning goal orientation"
"510","EVALUATION OF INTERACTIVE GAME-BASED LEARNING IN PHYSICS DOMAIN"
"511","AISpace2: An Interactive Visualization Tool for Learning and Teaching Artificial Intelligence"
"512","Nursing students’ perceptions towards branching path simulation as an effective interactive learning method"
"513","The effectiveness of the quizizz interactive quiz media as an online learning evaluation of physics chemistry 1 to improve student learning outcomes"
"514","Interactive online learning for graph matching using active strategies"
"515","The Effectiveness of Interactive Multimedia in Learning Indonesian Language Skills in Higher Education"
"516","Using Interactive E-Book User Log Variables to Track Reading Processes and Predict Digital Learning Outcomes"
"517","A Real-time Interactive Tai Chi Learning System Based on VR and Motion Capture Technology"
"518","Connecting User Experience to Learning in an Evaluation of an Immersive, Interactive, Multimodal Augmented Reality Virtual Diorama in a Natural History Museum &amp; the Importance of Story"
"519","Nested sensitive periods: how plasticity across the microbiota-gut-brain axis interacts to affect the development of learning and memory"
"520","Benefits of interactive graphic organizers in online learning: Evidence for generative learning theory."
"521","Interactive metamodel/model co-evolution using unsupervised learning and multi-objective search"
"522","VideoIC: A Video Interactive Comments Dataset and Multimodal Multitask Learning for Comments Generation"
"523","Interactive Visual Study of Multiple Attributes Learning Model of X-Ray Scattering Images"
"524","Reciprocal Learning in Mathematics Problem Posing and Problem Solving: An Interactive Study between Canadian and Chinese Elementary School Students"
"525","Development of a Novel Interactive Multimedia E-Learning Model to Enhance Clinical Competency Training and Quality of Care among Medical Students"
"526","Implementation of Interactive Learning Media on Chemical Materials"
"527","Using digital technology in early education teaching: learning from teachers’ teaching practice with interactive whiteboard"
"528","Interactively-Propagative Attention Learning for Implicit Discourse Relation Recognition"
"529","Interactively Learning the Preferences of a Decision Maker in Multi-objective Optimization Utilizing Belief-rules"
"530","Interactive convolutional learning for visual tracking"
"531","The shift to digital: designing for learning from a culturally relevant interactive media perspective"
"532","Development of Interactive Learning Video on Linear Program"
"533","DRIL: Descriptive Rules by Interactive Learning"
"534","The Development of Interactive Multimedia Learning Pyramid and Prism for Junior High School Using Macromedia Authorware"
"535","Interactivity of English online learning based on neural network"
"536","USING A VARIETY OF MODERN METHODS OF INTERACTIVE LEARNING TO IMPROVE THE EFFECTIVENESS OF TEACHING AT THE FACULTY OF DENTISTRY"
"537","Socrative, a powerful digital tool for enriching the teaching–learning process and promoting interactive learning in Chemistry and Chemical Engineering studies"
"538","A Proposal of Advanced Widgets Learning Topic for Interactive Application in Android Programming Learning Assistance System"
"539","Beyond the School Walls: Keeping Interactive Learning Environments Alive in Confinement for Students in Special Education"
"540","Use of an interactive multimedia e-book to improve nursing students’' sexual harassment prevention knowledge, prevention strategies, coping behavior, and learning motivation: A randomized controlled study"
"541","Decision application mechanism of regression analysis of multi-category learning behaviors in interactive learning environment"
"542","Building Primary-School Children’s Resilience through a Web-Based Interactive Learning Environment: Quasi-Experimental Pre-Post Study"
"543","Coupled Graph ODE for Learning Interacting System Dynamics"
"544","Interactive features of E-texts’ effects on learning: a systematic review and meta-analysis"
"545","Learning To Disambiguate Strongly Interacting Hands via Probabilistic Per-Pixel Part Segmentation"
"546","Immersion positively affects learning in virtual reality games compared to equally interactive 2d games"
"547","Increasing the attention, relevance, confidence and satisfaction (ARCS) of students through interactive science learning multimedia"
"548","Augmented Reality Interactive Learning Model, using the Imagineering Process for the SMART Classroom"
"549","Development of Interactive Based Powerpoint Learning Media In The Class Iv Students Of Merauke Basic School"
"550","Learning to interact with new technology: Health care workers’ experiences of using a monitoring system for assessing hand hygiene – a grounded theory study"
"551","Highly interacting machining feature recognition via small sample learning"
"552","The Predictive Power of Eye-Tracking Data in an Interactive AR Learning Environment"
"553","Frugal Learning for Interactive Satellite Image Change Detection"
"554","Interactive CFD simulations with virtual reality to support learning in mixing"
"555","Learning through interactive artifacts: Personal fabrication using electrochromic displays to remember Atari women programmers"
"556","A Distinctive Method of Online Interactive Learning in STEM Education"
"557","An Interactive Information System That Supports an Augmented Reality Game in the Context of Game-Based Learning"
"558","Internet of Things Based on Smart Mirror to Improve Interactive Learning"
"559","Interactive Technologies: Tablets, Smartphones, and Learning"
"560","Just-in-Time-Teaching with Interactive Frequent Formative Feedback (JiTTIFFF or JTF) for Cyber Learning in Core Materials Courses"
"561","A Web Based Interactive Science And Engineering Learning Tool That Promotes Concept Based Instruction"
"562","Navigating without a map: how medical students interact with clinical learning environments"
"563","Effects of the use of interactive E-books by intensive care unit patients' family members: Anxiety, learning performances and perceptions"
"564","The interactive effect of valence and context on reversal learning in individuals with Parkinson’s disease"
"565","IMSSAP: After‐school interactive mobile learning student support application"
"566","The Effect of Interactive Mathematics Learning Media toward Mathematical Conceptual Understanding on Probability of Hearing-impaired Students"
"567","Effects of improving the interactive design of a Chinese character learning system on the learning performance of Chinese as foreign language students"
"568","The screen and the sand-timer: The integration of the interactive whiteboard into an early years free-flow learning environment"
"569","Modeling E-learning interactivity, learner satisfaction and continuance learning intention in Ugandan higher learning institutions"
"570","Easy Prototyping of Multimedia Interactive Educational Tools for Language Learning based on Block Programming"
"571","An Improved Animal Migration Optimization Algorithm Based on Interactive Learning Behavior for High Dimensional Optimization Problem"
"572","Hijaiyah Letter Interactive Learning for Mild Mental Retardation Children using Gillingham Method and Augmented Reality"
"573","Enabling Immunology Learning in Virtual Reality Through Storytelling and Interactivity"
"574","Development of Web-Based Interactive Learning Media on Lines and Angles Material in 7th grade of Junior High School"
"575","The Effects of Interactive Whiteboard-Based Classroom Instruction on Students' Cognitive Learning Outcomes: A Meta-Analysis"
"576","Review of<i> Learning Catalytics, An Interactive Student Response Tool</i>"
"577","Development of Interactive Multimedia on Science Learning Based Adobe Flash CS6"
"578","Interactive Animation Based Learning Media on Starter System Materials for Vocational Students"
"579","3D Modelling Intestine Anatomy with Augmented Reality for Interactive Medical Learning"
"580","The Impact Interactive Learning Media on The Learning Outcomes of Fifth Grade Social Science Knowledge in Elementary Schools"
"581","Development of Interactive Physics Mobile Learning Media for Enhancing Students’ HOTS in Impulse and Momentum with Scaffolding Learning Approach"
"582","CD-Based Interactive Multimedia on Integrative Thematic Learning in Elementary School"
"583","Outcomes of Introducing a Mobile Interactive Learning Resource in a Large Medical School Course"
"584","Improving Learning Outcomes: Unlimited vs. Limited Attempts and Time for Supplemental Interactive Online Learning Activities"
"585","Unknotting the interactive effects of learning processes on cultural evolutionary dynamics"
"586","Development Of Interactive Media Based On Adobe Flash In Listening Learning For University Student"
"587","Effects of the Interactive Use of Performance Measurement Systems on Job Performance: Mediation Effect of Organizational Learning"
"588","Model of Geometry Realistic Learning Development with Interactive Multimedia Assistance in Elementary School"
"589","Improving Children’s E-Safety Skills through an Interactive Learning Environment: A Quasi-Experimental Study"
"590","The Conceptual and Hypothetical Model of Interactive Blended Problem Based Learning"
"591","The implementation of chemistry interactive e-module based on Kvisoft Flipbook Maker to improve student’ self-learning"
"592","Interactive Learning with Proactive Cognition Enhancement for Crowd Workers"
"593","Promoting Learning and Satisfaction of Children When Interacting with an Emotional Companion to Program"
"594","The Complexity of Interactively Learning a Stable Matching by Trial and Error"
"595","Learners’ Perspectives on Learning Programming from Interactive Computer Tutors in a MOOC"
"596","Development of Job Sheet Lathe Machining Practice Based on Animation Video as Interactive Learning Media"
"597","Using Interactive Learning Spaces for Global Diplomacy: Social Justice Collaboration between US and International Students"
"598","MILA: A SCORM-Compliant Interactive Learning Analytics Tool for Moodle"
"599","The Discovery of Interactive Spaces: Learning by Design in High School Music Technology Classes"
"600","Rule-based Interactive Learning Application Model on How to Play Music Instruments"
"601","Older Women, Deeper Learning: Age and Gender Interact to Predict Learning Approach and Academic Achievement at University"
"602","The Development and Application of Interactive Multimedia in Project-Based Learning to Enhance Students' Achievement for 2D Animation Making"
"603","Interactivity, Game Creation, Design, Learning, and Innovation"
"604","Global Manifold Learning for Interactive Image Segmentation"
"605","Proposal for an Interactive Software System Design for Learning Mexican Sign Language with Leap Motion"
"606","Promoting Education for Sustainable Development with an Interactive Digital Learning Companion Students Use to Perform Collaborative Phosphorus Recovery Experiments and Reporting"
"607","Learners with Experience in Surgical Scrub Benefit from Additional Education with an Interactive E-Learning Module"
"608","Perceptions and experiences of students on the use of interactive online learning technologies in Mauritius"
"609","Learning Theory for Inferring Interaction Kernels in Second-Order Interacting Agent Systems."
"610","Virtual semi-active damping learning control for robot manipulators interacting with unknown environment"
"611","Human Social Feedback for Efficient Interactive Reinforcement Agent Learning"
"612","An Interactive Adversarial Reward Learning-Based Spoken Language Understanding System"
"613","Situated Learning of Soft Skills with an Interactive Agent in Virtual Reality via Multimodal Feedback"
"614","Learning interaction kernels in mean-field equations of 1st-order systems of interacting particles."
"615","Supervised Seeded Iterated Learning for Interactive Language Learning"
"616","Web-Based 3D and Haptic Interactive Environments for e-Learning, Simulation, and Training"
"617","Mediation criteria for interactive serious games aimed at improving learning in children with attention deficit hyperactivity disorder (ADHD)"
"618","Learning Structured Representations of Spatial and Interactive Dynamics for Trajectory Prediction in Crowded Scenes"
"619","Identification of the evolutionary sequence of the emergence and development of interactive learning"
"620","A comparison of three interactive examination designs in active learning classrooms for nursing students"
"621","The Effectiveness of the Quizizz Interactive Quiz Media as an Online Self-Assessment of Undergraduate Students to Improve Students’ Learning Outcomes"
"622","Acoustics Apps: Interactive simulations for digital teaching and learning of acoustics"
"623","Interactive Learning from Activity Description"
"624","A General Framework and Control Theoretic Approach for Adaptive Interactive Learning Environments"
"625","Urban Perception: Sensing Cities via a Deep Interactive Multi-task Learning Framework"
"626","Interactive E-book for Physics Learning: Analysis of Students’ Characters and Conceptual Understanding"
"627","Effects of interactive alignment on L2 vocabulary learning by Chinese EFL learners"
"628","High Innovativeness of SMEs and the Configuration of Learning-by-Doing, Learning-by-Using, Learning-by-Interacting, and Learning-by-Science: a Regional Comparison Applying Fuzzy Qualitative Comparative Analysis"
"629","The Use of an Interactive Online Tool (Plickers) in Learning Vocabulary among Young Learners in ESL Setting"
"630","Enhancing Student Involvement Based on Adoption Mobile Learning Innovation as Interactive Multimedia"
"631","Immersive Interactive Educational Experiences – Adopting Education 5.0, Industry 4.0 Learning Technologies for Malaysian Universities"
"632","Interactive Graph Construction for Graph-Based Semi-Supervised Learning"
"633","DEVELOPMENT OF INTERACTIVE LEARNING MEDIA EDUGAME USING ADDIE MODEL"
"634","Discrete Argument Representation Learning for Interactive Argument Pair Identification"
"635","Comparing in-class scenario-based learning to scenario-based eLearning through an interactive, self-paced case study"
"636","The risk of algorithmic injustice for interactive learning environments"
"637","Learning to Recommend Frame for Interactive Video Object Segmentation in the Wild"
"638","Digging In and Branching Out: Collaborative Processes of Building, Embedding, and Evolving Online Interactive Learning Modules for Library Instruction"
"639","Constructing the definition of the “interactive learning” category by the triadic method"
"640","Intelligent Interactive Learning Platform for Seamless Learning Ecosystem to Enhance Digital Citizenship’s Lifelong Learning"
"641","A Class Practice Study of Intervention Effect of Interactive Assessment on Learning Goal Orientation"
"642","Integration and acceptance of Natural User Interfaces for interactive learning environments"
"643","Does an interactive table of contents promote learning from videos? A study of consultation strategies and learning outcomes"
"644","Correct Me If I am Wrong: Interactive Learning for Robotic Manipulation"
"645","A GAN-Like Approach for Physics-Based Imitation Learning and Interactive Character Control"
"646","Learning-Based Prediction, Rendering and Transmission for Interactive Virtual Reality in RIS-Assisted Terahertz Networks"
"647","ARC-LfD: Using Augmented Reality for Interactive Long-Term Robot Skill Maintenance via Constrained Learning from Demonstration"
"648","Non-interactive verifiable privacy-preserving federated learning"
"649","Multitask Interactive Attention Learning Model Based on Hand Images for Assisting Chinese Medicine in Predicting Myocardial Infarction"
"650","Interactive platform for Project-Based Learning based on web technologies"
"651","PRInK: Environmental virtual interactive based education and learning model for STEM motivation"
"652","Knowledge-Interactive Network with Sentiment Polarity Intensity-Aware Multi-Task Learning for Emotion Recognition in Conversations"
"653","Science Teachers' Views on the Use and Effectiveness of Interactive Simulations in Science Teaching and Learning"
"654","Exploring a self-directed interactive app for informal EFL learning: a self-determination theory perspective"
"655","ILoSA: Interactive Learning of Stiffness and Attractors"
"656","Active and Interactive Methods Used in Teaching and Learning the Topic ""Cryptosystems Based on Nonlinear Feedback Shift Registers"""
"657","Aggregate interactive learning for RGB-D salient object detection"
"658","An Interactive and Adaptive Learning Cyber Physical Human System for Manufacturing With a Case Study in Worker Machine Interactions"
"659","Fine-grained interactive attention learning for semi-supervised white blood cell classification"
"660","Convmixer: Feature Interactive Convolution with Curriculum Learning for Small Footprint and Noisy Far-Field Keyword Spotting"
"661","Making the best of app use: The impact of parent-child co-use of interactive media on children’s learning in the U.S"
"662","Development of Interactive Multimedia Learning Materials for Improving Critical Thinking Skills"
"663","Edutainment and practice in video-based learning: enriching educational videos with interactive activities and games"
"664","The impact of electronic interactive teaching materials (EITMs) in e-learning on junior high school students’ critical thinking skills"
"665","Impact of Interactivity and Active Collaborative Learning on Students’ Critical Thinking in Higher Education"
"666","Developing powerpoint-based interactive multimedia of mathematics learning multiples and factors materials for elementary school"
"667","Does online engagement matter? The impact of interactive learning modules and synchronous class attendance on student achievement in an immersive delivery model"
"668","Teaching Of Thermodynamics And Fluid Mechanics Using Interactive Learning Methods In Large Classes"
"669","An Interactive Learning Environment For Dsp"
"670","A Web Based Interactive E Learning Tool For Use In Electrical And Computer Engineering"
"671","Strategies and Tools for Engaging and Assessing Students with Cyber Learning by Interactive Frequent Formative Feedback (CLIFF) in Core Materials Classes"
"672","Promoting Civic Involvement Through Project Based Learning? Worcester Polytechnic Institute's Interactive Qualifying Projects And The Worcester Community Project Center"
"673","A Web Based Interactive Problem Solver For Enhancing Learning In Engineering Mechanics"
"674","Using Interactive Strategies In Distance Learning"
"675","Exploring the Impact of Various Interactive Displays on Student Learning in Construction Courses"
"676","Interactive Learning In Engineering Education"
"677","Interactive touch-screen monitors facilitate collaborative learning of microscopy skills in an introductory-level plant biology lab"
"678","Designing Interactive Cross-Cultural Mobile-Assisted Language Learning"
"679","Learning to shape virtual patient locomotor patterns: internal representations adapt to exploit interactive dynamics"
